magnitude,depth,population_density,infrastructure,urban,time_night,distance,damage,casualty_risk,blackout
8.1,29.37346445162956,7694,1,1,0,34.60342874735595,High,High,Failure
5.2,96.47805314757008,4905,4,1,0,23.61347878653029,Low,Medium,Risk
7.0,50.93683643839285,6597,6,1,1,173.5421495224851,Medium,Medium,Risk
5.4,81.56929222864002,7246,10,1,1,193.14575262806855,Low,Medium,Safe
6.3,57.27152150484487,5961,4,0,1,255.1029387745102,Medium,Medium,Failure
6.5,9.12419062120782,6531,1,1,0,88.46199108196828,High,Medium,Failure
4.8,65.14938068143212,2811,7,0,0,51.0736766744627,Low,Low,Safe
8.4,95.38331750963242,4506,2,1,0,114.32274412028164,High,Medium,Failure
7.5,62.15312291390146,9657,9,1,1,106.71896196605024,Medium,Medium,Risk
8.2,82.82294164554507,6411,3,0,0,40.608217251338566,High,Medium,Failure
8.0,88.99961401809874,5743,8,0,1,202.0125131014325,Medium,Medium,Risk
6.7,26.667578335148583,5838,8,1,1,153.09889027808342,Medium,Medium,Risk
8.1,25.14425979128153,251,3,1,0,216.6157040783151,High,Low,Failure
4.4,63.04319394084421,6210,4,0,1,106.45464493075067,Low,Medium,Risk
4.9,44.04770463163695,567,2,0,0,98.38496126173298,Low,Low,Risk
4.2,84.78682377233844,7787,4,0,1,142.30018006011284,Low,High,Risk
5.5,90.50219672281106,9583,9,0,1,263.344796273149,Low,High,Safe
5.7,38.57503103375822,2038,2,0,0,13.044110713460121,Medium,Low,Failure
5.2,27.502703102575797,3852,3,1,1,241.64501237164515,Medium,Medium,Failure
7.7,79.14992394816687,5858,4,1,1,111.3272961846692,High,Medium,Failure
5.6,31.10657337707293,7212,5,1,1,256.53108871075483,Medium,Medium,Risk
5.3,83.14836025879944,6291,1,1,1,240.85869964192108,Medium,High,Failure
6.4,45.25513409663247,8449,7,0,1,105.27961297143042,Medium,High,Risk
4.6,68.4172404326897,5683,10,0,1,208.4690840611632,Low,Medium,Safe
7.6,14.075854814293477,5805,7,0,1,48.7301942752586,Medium,Medium,Risk
4.3,64.26663584427445,6359,9,1,1,268.98818409697265,Low,Medium,Safe
8.4,47.91792948003677,4167,4,0,0,121.94282827112092,High,Medium,Failure
7.5,60.72780400167004,8395,6,0,0,137.23205899120487,High,Medium,Risk
4.9,20.961349735762024,1568,2,1,1,212.0219562600585,Medium,Medium,Failure
4.0,75.0030057696973,6213,4,1,1,246.43123077475045,Low,High,Risk
7.7,86.96572236660671,2650,2,1,0,71.66648025513467,High,Medium,Failure
7.2,25.590281008623688,2245,10,0,1,198.74369182322164,Low,Low,Risk
7.3,14.092882774415363,3604,5,0,0,118.2074151228554,Medium,Low,Risk
7.5,7.245665674401957,2899,7,1,0,111.24217427718443,Medium,Low,Risk
4.3,65.98729254211027,1792,1,1,0,207.31772135825577,Low,Medium,Failure
5.6,62.673933428434175,1356,10,0,1,116.76779897262436,Low,Low,Safe
4.5,56.936254207836654,3899,10,1,1,104.48644154915789,Low,Low,Safe
7.9,27.034974131017666,7569,7,0,1,250.9306340297465,High,High,Risk
6.8,42.13606961102389,4245,10,1,0,31.281561025470904,Low,Low,Safe
5.5,61.47525184268644,5228,6,1,0,203.091894226233,Low,Medium,Risk
4.3,52.19285159162109,2605,6,1,0,75.36889274339677,Low,Low,Safe
5.4,98.8396244204143,2355,8,0,1,5.633974306030901,Low,Low,Safe
5.5,17.961776492889648,7669,8,0,0,50.862516392934914,Low,Medium,Safe
7.3,71.03873263452141,9330,6,1,0,182.39179740298445,High,Medium,Risk
6.9,43.410282969907755,2692,3,0,1,213.0290302542953,Medium,Medium,Failure
8.0,45.6789634179334,9419,5,1,0,7.296277283339693,High,Medium,Risk
6.1,73.17178773752674,6459,2,1,0,11.891207547214325,High,Medium,Risk
4.5,70.78143437581511,4807,5,0,1,270.860092338043,Low,Medium,Risk
7.2,99.1693194017079,3044,9,0,1,22.91843961600223,Low,Low,Safe
7.4,17.197457498141898,8801,10,0,0,268.3604654263548,Medium,Medium,Risk
6.5,14.890416691495801,1321,1,0,1,69.22160821152083,Medium,Medium,Failure
7.5,73.81218762723041,1863,10,1,0,222.26532224730565,Low,Low,Risk
6.2,59.94675711560886,8851,5,0,1,93.61024143485761,Medium,High,Risk
6.4,31.04526332318156,2511,6,0,0,257.766855657146,Medium,Low,Risk
5.9,12.544840053953727,4170,7,1,1,210.436004761883,Low,Medium,Risk
4.1,13.1375337116609,6174,9,1,0,121.14222412190685,Low,Low,Safe
4.5,89.94813309309124,8525,6,1,1,23.814433798049784,Low,High,Safe
4.1,23.227395848280576,4446,5,1,1,220.0773549773713,Low,Medium,Risk
6.9,35.72029840097447,9333,7,0,1,185.4485420335893,Medium,High,Risk
5.4,26.53235821156386,866,1,0,1,1.8706036323028334,Low,Medium,Failure
6.3,38.724649054034046,7354,5,1,1,3.816536935761152,Medium,Medium,Risk
8.1,11.59526506087887,7381,2,1,1,242.82909898461548,High,High,Failure
5.1,54.31068013628568,132,4,0,1,78.5605219017543,Low,Low,Risk
5.8,11.423193541260416,1970,7,0,0,191.20396665069163,Low,Low,Risk
7.4,81.03386824312435,7867,5,0,0,136.810111509809,Medium,Medium,Risk
5.0,27.202647781491137,2143,6,0,1,259.1655743420084,Low,Medium,Risk
4.3,56.301131887428504,7121,2,0,1,275.1713728176441,Low,High,Failure
5.3,88.60751331833853,8017,3,1,0,299.04550609097737,Medium,Medium,Failure
4.7,66.83335005948345,8417,7,1,0,46.9515566063668,Low,Medium,Safe
8.2,55.63098972237685,5335,2,1,1,259.02624989616714,High,Medium,Failure
7.6,35.81170654596068,4987,6,1,0,80.54039164191173,Medium,Medium,Risk
6.9,36.63518174052881,419,5,0,0,177.65394659375679,Medium,Low,Risk
7.9,68.60126074382806,1868,10,1,1,152.22607732689406,Low,Low,Safe
7.6,99.44323931601092,2151,1,0,1,6.378451340143909,High,Medium,Failure
4.8,67.87472303569098,3540,10,0,1,279.8986126919223,Low,Low,Safe
8.0,57.989424650152365,1829,4,0,0,24.419789489616317,Medium,Low,Failure
6.4,74.41179847272838,7724,2,0,1,206.777456902913,High,High,Failure
7.6,49.19453316695322,1414,4,0,1,235.71704402627034,Medium,Medium,Failure
8.0,10.713522547074597,7344,1,0,0,238.7910668652576,High,High,Failure
5.4,58.418197508401434,3726,2,0,1,41.512861159724594,Medium,Medium,Failure
4.5,95.97440202801111,2476,8,1,0,134.82341520188365,Low,Low,Safe
5.0,21.653779523977665,8314,6,0,0,248.99923225975996,Low,Medium,Risk
5.9,70.55046462796325,8139,2,1,0,91.50108390324765,Medium,High,Failure
7.7,24.088700422610366,3012,6,1,0,140.8568539370244,High,Low,Risk
7.9,55.90363002494272,909,10,0,0,82.5653739172539,Low,Low,Safe
4.0,14.184262716438363,4188,9,0,0,139.60187394771194,Low,Low,Safe
6.3,47.78523894452759,2474,7,1,1,266.46353885527117,Low,Low,Risk
5.9,76.83551624504838,9306,9,1,1,137.08214507879808,Medium,Medium,Safe
5.0,38.0192948027033,4067,5,1,1,167.2176931052218,Low,Medium,Risk
4.5,68.16661382628571,8610,7,1,0,121.78890870762199,Low,Medium,Safe
5.5,80.56774627502428,8392,7,0,1,138.57503777779434,Low,Medium,Risk
8.2,93.081892850548,1184,3,0,0,5.537085514880088,Medium,Low,Failure
5.5,27.290997776268085,5216,7,0,1,85.83990747817634,Low,Medium,Risk
6.3,42.935012001884274,5169,1,1,0,131.5379348008055,High,Medium,Failure
7.2,19.479521266389654,5744,9,0,1,190.50529582182594,Low,Medium,Risk
5.6,99.28593270504565,6186,10,1,0,135.56552723561376,Low,Low,Safe
8.4,93.06509195280806,5535,6,0,1,102.00729595314765,High,Medium,Risk
8.3,56.29592737665316,4214,5,1,0,117.041521867903,High,Medium,Failure
5.1,84.99316296576002,2396,7,0,1,73.4457054309395,Low,Low,Safe
6.2,54.491007840844006,5089,5,0,0,277.42379054944183,Medium,Medium,Risk
5.4,64.24064036026218,4947,10,1,1,157.00122451148346,Low,Low,Safe
5.3,13.46682105102158,8302,5,1,1,5.009426707764811,Medium,High,Risk
4.2,76.75068994719675,5091,10,1,1,6.814431267444437,Low,Medium,Safe
6.7,17.132780945347307,3951,7,1,0,291.91552885066045,Medium,Low,Risk
6.3,83.4764248739902,1387,10,1,0,67.21381652060026,Low,Low,Safe
4.2,79.29266832868666,1234,7,0,0,241.8768783554801,Low,Low,Safe
5.3,72.33074628558276,4476,3,1,0,18.42431516661177,Medium,Medium,Risk
8.1,8.4352361498524,1601,3,0,0,276.42765827167017,High,Low,Failure
5.1,33.79719381480622,1679,10,0,1,262.45068409633683,Low,Low,Safe
4.7,29.995694141530073,9569,3,0,0,171.7568555679199,Medium,High,Risk
6.2,39.212958709794314,1576,6,0,1,3.690598527693476,Low,Medium,Risk
8.4,13.326060942564661,9915,6,0,1,78.08545133297794,High,High,Risk
5.1,94.01099318795096,1411,3,1,0,122.63997157214102,Low,Low,Risk
7.0,57.61121286767575,9815,3,1,1,138.55917090752098,High,High,Failure
7.4,34.024809512512235,4420,8,0,0,90.00594881014923,Medium,Low,Risk
5.1,42.71324412205693,5333,8,0,0,10.851412605413463,Low,Low,Safe
7.3,47.48424134795939,7660,7,1,0,177.44809437203608,Medium,Low,Risk
5.7,62.056461669258645,2043,10,1,1,157.722245640732,Low,Low,Safe
6.8,53.98954563116729,919,4,0,0,85.61718999329423,Medium,Low,Risk
6.9,92.34223745536964,1064,4,1,0,12.354814303312352,Medium,Low,Risk
6.4,52.21153087605387,652,3,1,0,298.3836619793601,Medium,Low,Failure
4.4,99.2550114082147,740,5,1,1,145.11386986109537,Low,Low,Risk
7.8,85.88537098578409,8735,3,0,0,227.04526829044906,High,High,Failure
5.4,24.8084988639469,539,8,1,1,136.2418964803493,Low,Low,Safe
4.8,93.40654539117205,6914,7,0,1,13.90791696801949,Low,Medium,Safe
4.2,16.054807799120226,7290,3,0,0,93.57062278056452,Low,Medium,Risk
6.7,82.6577223066632,7836,9,0,1,96.71293216076445,Low,Medium,Risk
7.0,41.159212880275106,8074,5,0,1,251.66751831065577,High,High,Failure
4.1,88.4075604422816,344,9,0,0,196.61476342196244,Low,Low,Safe
6.3,87.46538556020778,5538,7,1,0,83.35354118820239,Medium,Medium,Risk
5.0,81.562913011174,4077,7,0,0,290.3542464430667,Low,Low,Risk
6.9,80.05289144917083,2962,6,0,1,97.14100788696354,Low,Medium,Risk
4.8,33.944518214313874,9959,2,0,0,299.47197372278737,Medium,High,Failure
7.1,12.687331889868958,4794,9,1,1,298.8529442579087,Low,Medium,Risk
5.7,43.28311698269034,1923,6,1,1,58.171944806275796,Low,Medium,Risk
8.2,21.484828923718325,3308,8,1,1,94.50959374033165,Medium,Low,Risk
4.6,71.02035344573386,2867,1,1,1,146.3272153469116,Medium,Medium,Failure
5.5,37.87947402108963,8686,5,1,1,199.56610067321938,Medium,High,Risk
4.5,97.68296908169192,3691,1,1,0,158.88618725213598,Medium,Medium,Failure
8.2,65.89234734780655,4508,10,1,0,290.8629992705448,Medium,Low,Risk
7.9,83.13565354526429,5357,8,0,1,217.47276010647175,Medium,Medium,Risk
5.2,17.5898439104756,8983,8,0,1,64.40140996550934,Low,Medium,Safe
7.0,86.89137581589914,2091,1,1,0,32.424167513877855,Medium,Medium,Failure
7.7,92.66193309877247,729,9,0,0,206.83198592209766,Low,Low,Risk
6.5,51.27088228779891,5788,2,0,1,48.377279614048135,High,High,Failure
6.4,62.59402908634286,5718,9,1,1,236.5153752603905,Low,Medium,Risk
5.1,77.65693108578456,9600,1,0,0,93.99996351084076,Medium,High,Failure
4.4,21.60966958973919,7747,10,0,0,98.74108565362634,Low,Low,Safe
8.0,52.74377726402703,8083,9,1,1,4.228719324464079,Medium,Medium,Safe
8.1,42.87298763836974,112,4,0,0,210.60236886141718,High,Low,Failure
6.8,18.905529255413665,7879,9,1,0,34.86765616634105,Medium,Medium,Safe
5.5,39.91577011769549,7402,7,1,1,232.09129266159192,Low,Medium,Risk
5.6,11.476369391621889,6965,6,0,1,148.06847875324482,Medium,Medium,Risk
7.3,7.452131160201263,8376,5,0,1,235.49966467141616,High,High,Failure
8.0,17.840797469708164,3694,9,0,0,175.59403522012465,Medium,Low,Risk
8.0,96.49593560097152,5020,2,1,1,25.647548333678237,High,High,Failure
7.5,57.20530591002661,8053,2,1,0,229.93004867484973,High,High,Failure
6.9,96.75310530955589,3328,9,1,1,21.870045983530172,Low,Low,Safe
4.4,46.087298441362535,7346,3,0,1,144.13181445023034,Medium,High,Risk
4.7,34.62253264309966,9064,8,0,0,52.53241502934402,Low,Medium,Safe
8.0,53.08347696982319,3124,9,1,0,225.9482182153876,Low,Low,Risk
6.7,46.75361042012646,8362,8,0,1,273.56577711403185,Medium,High,Risk
4.0,15.038145004865672,7602,4,0,1,166.683722844124,Low,High,Risk
4.5,65.87849989556959,1687,1,1,0,158.61704099545497,Low,Medium,Failure
7.0,25.523627338411963,5153,4,1,1,229.42499570135976,High,Medium,Failure
4.0,63.86085571529381,9166,9,0,0,2.5185650797424355,Low,Medium,Safe
4.7,66.76910377782457,694,2,1,0,275.40983414791305,Low,Low,Failure
6.5,19.44236104722157,2082,3,0,1,60.03719631024838,Medium,Medium,Risk
7.1,10.828214575513474,2811,10,1,0,295.2515462640449,Low,Low,Risk
6.9,79.17235067650178,2118,8,1,0,221.13993044017818,Low,Low,Risk
5.0,48.68104025808542,291,6,1,0,232.50109316250064,Low,Low,Risk
7.2,10.5255605730202,2718,8,0,1,197.20469113170836,Medium,Low,Risk
5.1,99.51230013112787,852,7,0,0,142.02729165276293,Low,Low,Risk
5.5,10.48915329465483,5109,5,1,1,171.91668031498847,Medium,Medium,Risk
7.4,71.02834674156256,245,9,1,1,14.874462918522571,Low,Low,Safe
6.9,98.4494979000243,2237,4,1,1,187.56389332017227,Medium,Medium,Failure
7.8,27.722109900512933,2380,6,0,0,188.20333249412698,Medium,Low,Risk
7.0,18.513690025283637,4891,2,1,0,267.46903842314106,High,Medium,Failure
6.6,16.531569245130747,3656,2,1,1,152.19125087163562,High,High,Failure
4.4,33.81113901892158,8518,2,1,1,24.066167851732242,Medium,High,Risk
5.7,14.599352046011436,110,10,1,0,92.55258022414229,Low,Low,Safe
5.2,70.75532746094252,3977,7,0,1,197.03319422218092,Low,Medium,Risk
5.1,10.917720822355957,6346,2,0,1,72.5383999626877,Medium,High,Risk
8.4,53.395102174230026,2641,2,1,0,84.87781873476487,High,Low,Failure
5.8,99.68620111603279,8808,9,0,1,246.32023589189518,Low,Medium,Safe
8.0,82.32717560307178,9813,7,0,0,175.71159979704998,High,Medium,Risk
6.8,63.44584663194603,6171,3,0,0,153.0497021002982,Medium,Medium,Failure
7.6,34.09409397472811,1250,3,1,1,96.2171380749355,High,Medium,Failure
6.3,64.27010444770565,2904,7,0,0,219.54748274397699,Low,Low,Risk
6.6,55.068939071606906,7074,5,0,0,87.02781191251877,Medium,Medium,Risk
6.2,45.47792146958529,9478,10,0,0,221.38199177560838,Low,Medium,Safe
4.9,17.41748579031895,7022,6,1,1,21.96034259996516,Low,Medium,Risk
7.3,89.22740044784435,186,8,1,1,259.497861133043,Low,Low,Risk
5.3,47.72954163802564,1079,9,0,1,150.3703725494039,Low,Low,Safe
4.1,23.489138622972682,2644,1,0,0,132.11389699299204,Low,Medium,Failure
6.9,39.93713833334251,7256,3,1,0,183.69600005103544,High,Medium,Failure
4.8,44.34232649024807,711,7,1,1,187.63342979598485,Low,Low,Risk
8.2,83.61610007885305,2522,6,0,1,40.47851789010867,Medium,Medium,Risk
8.3,74.6933661533332,136,7,0,0,227.11384335504775,Low,Low,Risk
8.1,78.08396489592728,6269,8,1,1,83.50256108706881,Medium,Medium,Risk
5.7,6.0479701207214855,8193,6,1,1,271.5836021708043,Medium,High,Risk
4.1,44.534629827077346,7018,3,0,1,245.5373483610349,Low,High,Risk
8.2,50.72769440535574,2823,2,1,1,104.5335464188898,High,Medium,Failure
5.9,6.823266298190385,1750,7,0,1,242.51404866701364,Low,Low,Risk
8.3,29.682254830778252,2750,1,0,0,107.56075929067136,High,Medium,Failure
8.3,77.22753319660282,6865,3,0,1,31.183356809176146,High,High,Failure
7.8,18.02542204425491,1697,4,1,1,288.60458337898666,High,Medium,Failure
5.3,55.85446248799621,6088,1,0,0,196.12800254941658,Medium,Medium,Failure
5.7,25.44417784163756,5214,5,0,0,137.3737584721149,Medium,Medium,Risk
7.8,6.151473591169861,5570,10,1,0,119.93423210778086,Low,Low,Safe
5.4,27.91413847195644,3737,3,1,0,98.08689494322093,Medium,Medium,Risk
4.8,97.70800671645512,646,2,0,1,294.4528310333097,Low,Medium,Failure
6.5,81.14602562888402,4595,3,0,1,41.28943227414131,Medium,Medium,Risk
8.2,96.15978121049817,8726,8,1,1,95.12671261724992,High,Medium,Risk
7.1,51.34613417300443,8887,6,1,1,146.16379444451638,Medium,Medium,Risk
6.6,15.424938874362834,4807,7,1,0,143.9218639712391,Medium,Low,Risk
4.4,57.05615145250083,4434,6,0,0,141.9385788379452,Low,Medium,Risk
6.8,48.16584678319629,8962,6,0,1,53.55936093328417,Medium,High,Risk
8.5,85.21392286026352,4783,3,0,1,44.33482560574067,High,Medium,Failure
4.6,14.317845174503235,7131,8,1,1,77.1755083122574,Low,Medium,Safe
6.3,51.38290801706893,8740,7,0,1,274.44331998681474,Medium,High,Risk
7.9,19.254623145928505,7167,7,1,0,34.80283738251853,High,Medium,Risk
7.3,35.844213054555695,4779,6,0,1,227.4701059086241,Medium,Medium,Risk
7.1,75.04892235184097,1723,5,1,0,227.50696954687803,Medium,Low,Risk
7.2,50.22172229003282,8356,10,0,0,243.12135076528142,Medium,Medium,Risk
5.6,40.70938708884809,9978,8,0,0,266.0980312078173,Low,Medium,Risk
5.3,42.47524646415336,7228,5,1,0,79.64781708414016,Low,Medium,Risk
7.6,48.64744299856873,2344,9,1,1,68.14328131140002,Low,Low,Risk
7.6,79.5765716645204,3680,9,0,1,140.18619429171645,Medium,Low,Risk
7.9,89.74804544932226,196,1,1,1,80.2616614568588,High,Medium,Failure
8.1,95.75679521787319,3503,6,1,1,220.55868670594916,Medium,Medium,Failure
6.3,79.75582169425303,4557,7,0,0,191.14593344568866,Low,Low,Risk
6.3,34.96365509606121,5833,3,1,0,262.6213187277428,High,Medium,Failure
7.6,70.37279707822151,7801,7,0,0,25.738752742634396,Medium,Medium,Risk
6.9,46.57229678526223,5678,7,0,1,274.6099166740644,Medium,Medium,Risk
7.2,29.19370909437486,8378,2,1,0,88.71123937435678,High,Medium,Failure
7.6,84.88280004546264,3410,7,1,0,147.71760943216822,Low,Low,Risk
8.0,8.650503151420875,3055,1,0,0,132.14481934595347,High,Medium,Failure
5.5,90.66738925286523,3602,5,0,0,228.33318368022273,Low,Low,Risk
5.7,48.840359139349744,68,9,0,1,126.67965952012092,Low,Low,Safe
4.4,65.53414029678663,2292,7,0,0,283.1223905491734,Low,Low,Risk
6.6,67.63862260954936,6368,7,0,0,270.8576309089341,Medium,Medium,Risk
4.2,90.03618536712095,5147,2,0,1,261.77618443888247,Low,High,Failure
6.1,65.4836198058847,8690,8,1,1,22.30624146182014,Low,Medium,Safe
6.4,63.32369055220587,1998,3,1,1,256.4231604046279,Medium,Medium,Failure
5.3,11.331943853265546,9187,8,1,0,234.70899818751994,Low,Medium,Risk
6.7,54.248762084794386,5668,3,0,0,31.95037115483317,High,Medium,Failure
4.1,19.266055077618958,4286,10,1,0,33.11688330543034,Low,Low,Safe
4.2,75.05620802854114,6951,7,0,0,31.24797964374481,Low,Low,Safe
7.7,53.661082477204076,1970,2,0,1,4.388445368141774,High,Medium,Failure
5.6,69.62163902479357,4238,4,1,0,165.0416572531805,Low,Low,Risk
4.6,8.958925557226506,288,6,0,0,292.04489313937694,Low,Low,Risk
6.4,13.055241524351306,254,9,0,1,132.16672616703826,Low,Low,Safe
7.5,73.05072186595481,5602,5,0,1,162.68649306431956,Medium,Medium,Risk
5.0,11.848011919873969,4977,9,0,1,290.4229692342167,Low,Medium,Risk
6.8,11.769389137699566,4440,5,0,0,77.29948640349498,Medium,Low,Risk
4.4,6.150305147314308,2737,10,0,0,257.6826055268806,Low,Low,Safe
4.2,95.8676328384506,5001,8,1,0,164.3707496963091,Low,Low,Safe
6.4,75.06329414860566,6210,1,0,0,171.2734778842402,Medium,High,Failure
6.4,38.5588838076961,5438,7,0,0,103.60898330497778,Medium,Low,Risk
6.9,33.17088022232724,9590,4,0,1,168.91372392910552,High,High,Risk
7.3,38.22180682585571,5176,5,0,1,22.869610334006897,Medium,Medium,Risk
8.4,78.59208546221228,866,6,1,0,229.62842821161954,Medium,Low,Failure
6.3,67.83020805168937,9062,5,1,0,86.12164070173723,Medium,Medium,Risk
5.5,22.593578947409455,242,1,0,0,266.39489051869253,Medium,Medium,Failure
7.6,21.540386856738014,1826,9,0,0,110.98735768763008,Low,Low,Risk
5.2,14.347586722772744,3695,2,0,0,43.704409035577896,Medium,Medium,Failure
6.0,67.72875837162712,6364,9,1,1,209.06859073617701,Low,Medium,Safe
4.4,77.61540291106492,8492,10,1,1,50.20886526933735,Low,Medium,Safe
4.1,30.179410690875383,1838,2,1,1,226.35047414735413,Low,Medium,Risk
8.3,6.989771297936717,7424,9,1,0,290.46555868542885,Medium,Low,Risk
7.8,12.806308410260598,3750,6,0,0,234.08630776978328,Medium,Low,Risk
7.1,96.9467033102779,9409,9,1,1,7.712325280966078,Medium,Medium,Safe
5.8,33.067253860354924,3943,6,1,1,180.36585062777965,Low,Medium,Risk
4.8,78.0761990446227,6861,6,0,0,208.92779061994756,Low,Low,Risk
4.7,64.34303904115507,9338,2,0,1,247.81203941308928,Medium,High,Failure
5.1,41.28426576702511,2729,8,1,1,17.744690372761045,Low,Low,Safe
6.5,24.540289908577737,3954,3,1,0,144.55224055773363,Medium,Medium,Failure
7.2,16.53170972514361,7310,7,1,1,161.0758909188799,High,High,Risk
7.0,63.42623196369233,554,5,1,1,51.56833393060923,Medium,Medium,Risk
5.3,78.59020916058986,9863,3,0,1,97.41249310348424,Medium,High,Risk
8.3,66.1709040864074,9629,1,0,0,132.6262961505934,High,High,Failure
7.3,55.378702658670036,6823,8,1,1,250.12969669938263,Medium,Medium,Risk
6.5,8.985366226005445,3866,3,1,1,278.8928622549919,High,Medium,Failure
6.8,97.00643387146646,767,2,1,1,188.89842584638419,Medium,Medium,Failure
5.9,80.87784820718458,4484,1,1,0,119.08861062041717,Medium,Medium,Failure
5.1,32.81809348659165,708,4,1,0,76.9552743218968,Low,Low,Risk
5.6,98.09718128909081,5107,8,0,1,294.65842014640896,Low,Medium,Risk
7.4,62.1787510154506,4058,3,0,0,294.92297942483117,Medium,Medium,Failure
4.1,60.33015252968841,5044,1,0,1,277.5681075222754,Medium,High,Failure
4.5,76.06695204580555,4284,4,1,0,235.91507581346795,Low,Medium,Risk
4.2,82.11812986856307,3814,9,1,0,98.40808357993986,Low,Low,Safe
4.2,67.36546769649274,4687,1,0,1,245.28314456579156,Medium,High,Failure
7.8,17.169095904789003,2154,2,0,1,123.2291121640806,High,Medium,Failure
7.2,37.135413069477345,9497,9,1,1,98.70515634835851,Medium,Medium,Risk
6.1,93.16794583097473,6851,2,0,0,223.7147421814176,Medium,Medium,Failure
4.4,26.338483125165933,8625,3,1,1,24.816524358506445,High,High,Risk
6.2,40.35586726456376,2657,7,1,0,15.520254265402846,Low,Low,Risk
6.1,46.04730387969862,8435,3,0,0,134.9381554571745,High,Medium,Failure
4.8,46.74347402097296,3769,9,0,1,134.2460014458264,Low,Low,Safe
6.0,63.22926033697993,2631,6,0,0,268.79760176608664,Low,Low,Risk
5.8,94.59220458574723,2615,3,1,1,38.71977579005722,Low,Medium,Failure
6.8,27.86580762408797,2813,9,1,0,37.861894308271424,Low,Low,Safe
6.9,16.542630748587214,6378,1,0,1,45.08832754199545,High,High,Failure
4.2,23.759696536694044,6041,10,1,0,9.89114212708618,Low,Low,Safe
5.7,89.2578655198806,3456,3,1,0,22.447789606657604,Medium,Medium,Risk
6.8,66.35202720224457,8973,1,1,1,198.30109018188267,High,High,Failure
6.3,32.16114497772021,4830,2,0,0,130.04371440613525,High,Medium,Failure
7.9,82.51495920201864,4227,8,1,1,229.31731705931608,Medium,Medium,Risk
7.0,86.83014965452642,6526,7,0,0,297.78671785591644,Medium,Medium,Risk
